,page,country,rev_id,predictions,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
8617,Martial Joseph Ahipeaud,Ivorian,744522699,Stub,,,,,,,left_only
8659,Siegfried Taub,Czech Republic,744612257,Start,,,,,,,left_only
8662,Lovro Toman,Carniolan,744636212,Start,,,,,,,left_only
8704,Innocent Anaky,Ivorian,744920472,Start,,,,,,,left_only
8744,Asiata Sale'imoa Va'ai,Samoan,745204530,Stub,,,,,,,left_only
8772,Michel Couriard,Jersey,745348113,Start,,,,,,,left_only
8869,Agapito Robleda Castro,Hondura,745838578,Start,,,,,,,left_only
8877,David Emmanuel Jack,Saint Vincent and the Grenadines,745928420,Stub,,,,,,,left_only
8906,César Castellanos (politician),Hondura,746117875,Stub,,,,,,,left_only
9021,Záviš Kalandra,Czech Republic,746707985,Stub,,,,,,,left_only
9064,John Thomas Eustace,Cape Colony,746923352,C,,,,,,,left_only
9161,Gerald B. Clarke,Rhodesian,747497059,Stub,,,,,,,left_only
9179,Moses Mathendele Dlamini,Swaziland,747579157,Start,,,,,,,left_only
9238,Bogumil Vošnjak,Carniolan,747945423,Start,,,,,,,left_only
9267,Boris Chochiev,South Ossetian,748071193,Stub,,,,,,,left_only
9304,Simon Young (magistrate),Pitcairn Islands,748179514,Stub,,,,,,,left_only
9342,Aiono Nonumalo Sofara,Samoan,748298776,Stub,,,,,,,left_only
